EmpresaId,Location,lat,lgn,Description,Type,time,provincia,localidad,calification,BranchType
20841|2,AV. JUAN B. JUSTO 4010,-34.60458,-58.45857,FIUMANT EDGARDO Y VERCILLO,2,08:00 A 20:00 HS,CF,CABALLITO,5,KIOSCO,
20847|2,SARMIENTO 387,-34.60432,-58.37222,CASTRES SRL,2,08:00 A 19:00 HS,CF,SAN NICOLÁS,5,KIOSCO,
21012|2,AV. MOSCONI GENERAL 2528,-34.58372,-58.49796,COUTO LOUZAO,2,08:00 A 20:00 HS,CF,VILLA PUEYRREDÓN,5,KIOSCO,
20013|2,RIVADAVIA 560,-34.45761,-58.91267,LA CENTRAL DE ESCOBAR S A,5,09:30 A 20:00 HS,BA,PILAR,1,PARADA DE COLECTIVOS,
20016|2,AV. RIVADAVIA 11900,-34.63965,-58.53223,ALMAFUERTE EMPRESA DE TRANSPORTE SACIEI,2,11:00 A 22:00 HS,BA,CIUDADELA,4,PARADA DE COLECTIVOS,
20024|2,LIBERTADOR 7505,-34.58454,-58.74877,CASALIS MARIANO,2,00:00 A 00:00 HS,BA,MORENO,5,ESTACIÓN DE SERVICIO,
20081|2,AV. DIAZ VELEZ 1841,-34.65440,-58.52915,TRANSPORTE IDEAL SAN JUSTO SA,2,05:00 A 20:30 HS,BA,LOMAS DEL MIRADOR,5,PARADA DE COLECTIVOS,
20109|2,AV R FRANCO 6193,-34.69813,-58.31060,LAZARTE RUBIN DE CELIS RONNY SANTOS,2,06:30 A 20:00 HS,BA,WILDE,5,KIOSCO,
20141|2,CORDOBA 950,-34.70357,-58.37621,SAN MARTIN MORETTO NATALIA ELIZABETH,2,09:30 A 22:00 HS,BA,LANUS,5,KIOSCO,
20278|2,14 DE JULIO 4100,-34.71876,-58.40529,MICRO OMNIBUS CUARENTA Y CINCO SA COM IND FINI,2,06:00 A 20:00 HS,BA,LANUS,5,PARADA DE COLECTIVOS,
20347|2,MARTÍN FIERRO 132,-34.98611,-58.37272,YARDIN MARIANO RODRIGO (TR ARGENTINA),2,09:00 A 22:00 HS,BA,ALEJANDRO KORN,5,LOCUTORIO,
20070|2,RUTA 21 Y GRAL ROJO 3100,-34.74906,-58.58162,TRANSPORTE IDEAL SAN JUSTO SA,2,07:00 A 23:00 HS,BA,GREGORIO DE LAFERRERE,5,KIOSCO,
20073|2,ARIETA 5495,-34.69679,-58.53655,SOLOIP SRL,2,06:30 A 22:00 HS,BA,TABLADA,5,COMERCIO,
20076|2,GENERAL PEDERNERA 1108,-34.68332,-58.50261,SOLOIP SRL,2,08:00 A 20:00 HS,BA,CIUDAD MADERO,5,LOCUTORIO,
20108|2,DIRECTORIO 391,-34.45938,-58.73673,RAGAZZI RUBEN RICARDO,2,08:00 A 20:00 HS,BA,MALVINAS ARGENTINAS,5,KIOSCO,
20199|2,ALSINA 1993,-34.76000,-58.39606,DAMA DAIANA CINTIA,2,08:00 A 20:00 HS,BA,LOMAS DE ZAMORA,5,KIOSCO,
20227|2,AV. LA PLATA 3480,-34.60181,-58.54313,CASELLA ALDO,2,09:00 A 20:00 HS,BA,SANTOS LUGARES,5,KIOSCO,
20350|2,SARMIENTO 22,-34.91236,-58.59508,SORIA LEANDRO DOMINGO,2,08:00 A 20:00 HS,BA,CARLOS SPEGAZZINI,5,LOCUTORIO,
